Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Bomet County,3.0,0.0,3716.0,101.0,0.0,0.0,346.0,4,3817.0,0.026460571129159026
Bungoma County,17.0,260.0,6529.0,0.0,0.0,3112.0,143.0,4,6529.0,0.0
Busia County,11.0,0.0,0.0,213.0,212.0,2332.0,444.0,4,213.0,1.0
Elgeyo Marakwet County,2.0,0.0,1538.0,0.0,0.0,0.0,59.0,4,1538.0,0.0
Embu County,4.0,0.0,0.0,65.0,219.0,0.0,58.0,4,65.0,1.0
Garissa County,1.0,0.0,1324.0,0.0,0.0,990.0,0.0,4,1324.0,0.0
Homa Bay County,24.0,0.0,18845.0,0.0,798.0,0.0,0.0,4,18845.0,0.0
Isiolo County,1.0,0.0,0.0,19.0,64.0,0.0,27.0,4,19.0,1.0
Kajiado County,10.0,159.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Kakamega County,17.0,0.0,0.0,0.0,260.0,0.0,334.0,4,0.0,0.0
Kericho County,12.0,121.0,3545.0,0.0,259.0,1879.0,130.0,4,3545.0,0.0
Kiambu County,21.0,376.0,18446.0,434.0,1539.0,7338.0,0.0,4,18880.0,0.02298728813559322
Kilifi County,0.0,206.0,0.0,206.0,563.0,4614.0,0.0,4,206.0,1.0
Kirinyaga County,7.0,60.0,7488.0,88.0,299.0,3967.0,0.0,4,7576.0,0.011615628299894404
Kisii County,0.0,0.0,10361.0,0.0,0.0,4220.0,193.0,4,10361.0,0.0
Kisumu County,56.0,797.0,20775.0,0.0,917.0,4842.0,603.0,4,20775.0,0.0
Kitui County,9.0,171.0,0.0,166.0,211.0,0.0,0.0,4,166.0,1.0
Kwale County,8.0,88.0,0.0,0.0,552.0,0.0,16.0,4,0.0,0.0
Laikipia County,5.0,0.0,0.0,0.0,0.0,0.0,120.0,4,0.0,0.0
Lamu County,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4,17.0,1.0
Machakos County,24.0,0.0,9519.0,228.0,507.0,3925.0,78.0,4,9747.0,0.023391812865497075
Mandera County,0.0,3.0,0.0,2.0,0.0,561.0,10.0,4,2.0,1.0
Marsabit County,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4,8.0,1.0
Meru County,0.0,232.0,5872.0,0.0,623.0,3388.0,275.0,4,5872.0,0.0
Migori County,126.0,543.0,21930.0,633.0,0.0,7352.0,405.0,4,22563.0,0.028054779949474803
Mombasa County,32.0,0.0,14634.0,369.0,0.0,0.0,0.0,4,15003.0,0.02459508098380324
Muranga County,7.0,128.0,0.0,110.0,408.0,0.0,241.0,4,110.0,1.0
Nairobi County,0.0,0.0,51361.0,0.0,2595.0,20160.0,0.0,4,51361.0,0.0
Nakuru County,21.0,0.0,0.0,0.0,0.0,0.0,468.0,4,0.0,0.0
Narok County,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Nyamira County,0.0,0.0,0.0,143.0,248.0,0.0,0.0,4,143.0,1.0
Nyandarua County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Nyeri County,0.0,97.0,0.0,103.0,388.0,1589.0,101.0,4,103.0,1.0
Samburu County,3.0,0.0,0.0,26.0,40.0,0.0,70.0,4,26.0,1.0
Siaya County,0.0,0.0,17988.0,628.0,0.0,3085.0,489.0,4,18616.0,0.03373442200257843
Taita Taveta County,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Tana River County,42.0,0.0,1195.0,0.0,0.0,0.0,50.0,4,1195.0,0.0
Tharaka Nithi County,4.0,0.0,2724.0,0.0,0.0,1159.0,0.0,4,2724.0,0.0
Trans Nzoia County,15.0,0.0,4471.0,0.0,201.0,0.0,0.0,4,4471.0,0.0
Turkana County,20.0,194.0,10701.0,143.0,0.0,4815.0,688.0,4,10844.0,0.01318701586130579
Uasin Gishu County,13.0,0.0,7559.0,268.0,0.0,2907.0,0.0,4,7827.0,0.034240449725309825
Vihiga County,5.0,0.0,4726.0,149.0,201.0,2292.0,0.0,4,4875.0,0.030564102564102563
Wajir County,0.0,0.0,910.0,0.0,8.0,677.0,0.0,4,910.0,0.0
West Pokot County,6.0,85.0,0.0,0.0,0.0,0.0,248.0,4,0.0,0.0
Baringo County,3.0,51.0,0.0,38.0,0.0,0.0,0.0,5,38.0,1.0
Bomet County,4.0,0.0,2020.0,73.0,0.0,0.0,128.0,5,2093.0,0.03487816531294792
Bungoma County,50.0,295.0,5890.0,0.0,0.0,3367.0,360.0,5,5890.0,0.0
Busia County,7.0,0.0,0.0,171.0,127.0,1655.0,510.0,5,171.0,1.0
Elgeyo Marakwet County,1.0,0.0,1391.0,0.0,0.0,0.0,18.0,5,1391.0,0.0
Embu County,3.0,0.0,0.0,59.0,116.0,0.0,28.0,5,59.0,1.0
Garissa County,1.0,0.0,2637.0,0.0,0.0,1840.0,0.0,5,2637.0,0.0
Homa Bay County,81.0,0.0,17773.0,0.0,770.0,0.0,0.0,5,17773.0,0.0
Isiolo County,1.0,0.0,0.0,12.0,30.0,0.0,13.0,5,12.0,1.0
Kajiado County,11.0,185.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Kakamega County,15.0,0.0,0.0,0.0,196.0,0.0,164.0,5,0.0,0.0
Kericho County,4.0,156.0,2610.0,0.0,175.0,1493.0,118.0,5,2610.0,0.0
Kiambu County,25.0,430.0,15247.0,405.0,1255.0,6431.0,0.0,5,15652.0,0.02587528750319448
Kilifi County,0.0,247.0,0.0,220.0,498.0,4429.0,0.0,5,220.0,1.0
Kirinyaga County,10.0,62.0,6204.0,96.0,207.0,3183.0,0.0,5,6300.0,0.015238095238095238
Kisii County,0.0,0.0,8693.0,0.0,0.0,3550.0,311.0,5,8693.0,0.0
Kisumu County,25.0,878.0,18393.0,0.0,614.0,4489.0,343.0,5,18393.0,0.0
Kitui County,17.0,201.0,0.0,161.0,218.0,0.0,0.0,5,161.0,1.0
